service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
01-100,0,0,0,0,0,0,1,20251109,20281108
01-160,0,0,0,0,0,1,0,20251109,20281108
01-170,1,1,1,1,1,0,0,20251109,20281108
06-100,0,0,0,0,0,0,1,20251109,20281108
06-160,0,0,0,0,0,1,0,20251109,20281108
06-170,1,1,1,1,1,0,0,20251109,20281108
09-100,0,0,0,0,0,0,1,20251109,20281108
09-160,0,0,0,0,0,1,0,20251109,20281108
09-170,1,1,1,1,1,0,0,20251109,20281108
13-100,0,0,0,0,0,0,1,20251109,20281108
13-160,0,0,0,0,0,1,0,20251109,20281108
13-170,1,1,1,1,1,0,0,20251109,20281108
21-100,0,0,0,0,0,0,1,20251109,20281108
21-160,0,0,0,0,0,1,0,20251109,20281108
21-170,1,1,1,1,1,0,0,20251109,20281108
25-100,0,0,0,0,0,0,1,20251109,20281108
25-160,0,0,0,0,0,1,0,20251109,20281108
25-170,1,1,1,1,1,0,0,20251109,20281108
29-100,0,0,0,0,0,0,1,20251109,20281108
29-160,0,0,0,0,0,1,0,20251109,20281108
29-170,1,1,1,1,1,0,0,20251109,20281108
33-100,0,0,0,0,0,0,1,20251109,20281108
33-160,0,0,0,0,0,1,0,20251109,20281108
33-170,1,1,1,1,1,0,0,20251109,20281108
37-100,0,0,0,0,0,0,1,20251109,20281108
37-160,0,0,0,0,0,1,0,20251109,20281108
37-170,1,1,1,1,1,0,0,20251109,20281108
41-100,0,0,0,0,0,0,1,20251109,20281108
41-160,0,0,0,0,0,1,0,20251109,20281108
41-170,1,1,1,1,1,0,0,20251109,20281108
45-100,0,0,0,0,0,0,1,20251109,20281108
45-160,0,0,0,0,0,1,0,20251109,20281108
45-170,1,1,1,1,1,0,0,20251109,20281108
49-100,0,0,0,0,0,0,1,20251109,20281108
49-160,0,0,0,0,0,1,0,20251109,20281108
49-170,1,1,1,1,1,0,0,20251109,20281108
53-100,0,0,0,0,0,0,1,20251109,20281108
53-160,0,0,0,0,0,1,0,20251109,20281108
53-170,1,1,1,1,1,0,0,20251109,20281108
57-100,0,0,0,0,0,0,1,20251109,20281108
57-160,0,0,0,0,0,1,0,20251109,20281108
57-170,1,1,1,1,1,0,0,20251109,20281108
61-100,0,0,0,0,0,0,1,20251109,20281108
61-160,0,0,0,0,0,1,0,20251109,20281108
61-170,1,1,1,1,1,0,0,20251109,20281108
65-100,0,0,0,0,0,0,1,20251109,20281108
65-160,0,0,0,0,0,1,0,20251109,20281108
65-170,1,1,1,1,1,0,0,20251109,20281108
69-100,0,0,0,0,0,0,1,20251109,20281108
69-160,0,0,0,0,0,1,0,20251109,20281108
69-170,1,1,1,1,1,0,0,20251109,20281108
77-100,0,0,0,0,0,0,1,20251109,20281108
77-160,0,0,0,0,0,1,0,20251109,20281108
77-170,1,1,1,1,1,0,0,20251109,20281108
81-100,0,0,0,0,0,0,1,20251109,20281108
81-160,0,0,0,0,0,1,0,20251109,20281108
81-170,1,1,1,1,1,0,0,20251109,20281108
85-100,0,0,0,0,0,0,1,20251109,20281108
85-160,0,0,0,0,0,1,0,20251109,20281108
85-170,1,1,1,1,1,0,0,20251109,20281108
