service_id,date,exception_type
01-179,20251112,1
01-170,20251112,2
81-179,20251112,1
81-170,20251112,2
09-172,20251114,1
09-170,20251114,2
01-179,20251119,1
01-170,20251119,2
81-179,20251119,1
81-170,20251119,2
09-172,20251121,1
09-170,20251121,2
01-104,20251124,1
01-170,20251124,2
06-100,20251124,1
06-170,20251124,2
09-100,20251124,1
09-170,20251124,2
13-100,20251124,1
13-170,20251124,2
21-100,20251124,1
21-170,20251124,2
25-100,20251124,1
25-170,20251124,2
29-101,20251124,1
29-170,20251124,2
33-100,20251124,1
33-170,20251124,2
37-100,20251124,1
37-170,20251124,2
45-100,20251124,1
45-170,20251124,2
49-100,20251124,1
49-170,20251124,2
53-100,20251124,1
53-170,20251124,2
57-100,20251124,1
57-170,20251124,2
61-100,20251124,1
61-170,20251124,2
65-100,20251124,1
65-170,20251124,2
69-100,20251124,1
69-170,20251124,2
77-100,20251124,1
77-170,20251124,2
81-100,20251124,1
81-170,20251124,2
85-101,20251124,1
85-170,20251124,2
09-172,20251128,1
09-170,20251128,2
01-179,20251203,1
01-170,20251203,2
81-179,20251203,1
81-170,20251203,2
01-179,20251210,1
01-170,20251210,2
81-179,20251210,1
81-170,20251210,2
01-179,20251217,1
01-170,20251217,2
81-179,20251217,1
81-170,20251217,2
81-100,20251223,1
81-170,20251223,2
01-179,20251224,1
01-170,20251224,2
81-179,20251224,1
81-170,20251224,2
01-360,20251227,1
01-160,20251227,2
01-300,20251228,1
01-100,20251228,2
81-109,20251228,1
81-100,20251228,2
01-370,20251229,1
01-170,20251229,2
49-300,20251229,1
49-170,20251229,2
53-100,20251229,1
53-170,20251229,2
57-100,20251229,1
57-170,20251229,2
65-300,20251229,1
65-170,20251229,2
01-371,20251230,1
01-170,20251230,2
25-100,20251230,1
25-170,20251230,2
49-300,20251230,1
49-170,20251230,2
53-100,20251230,1
53-170,20251230,2
57-100,20251230,1
57-170,20251230,2
65-300,20251230,1
65-170,20251230,2
01-372,20251231,1
01-170,20251231,2
25-100,20251231,1
25-170,20251231,2
49-100,20251231,1
49-170,20251231,2
53-100,20251231,1
53-170,20251231,2
57-100,20251231,1
57-170,20251231,2
65-100,20251231,1
65-170,20251231,2
81-179,20251231,1
81-170,20251231,2
01-100,20260101,1
01-170,20260101,2
25-100,20260101,1
25-170,20260101,2
49-100,20260101,1
49-170,20260101,2
53-100,20260101,1
53-170,20260101,2
57-100,20260101,1
57-170,20260101,2
65-391,20260101,1
65-170,20260101,2
01-100,20260102,1
01-170,20260102,2
25-100,20260102,1
25-170,20260102,2
49-100,20260102,1
49-170,20260102,2
53-100,20260102,1
53-170,20260102,2
57-100,20260102,1
57-170,20260102,2
65-391,20260102,1
65-170,20260102,2
01-100,20260103,1
01-160,20260103,2
25-100,20260103,1
25-160,20260103,2
49-100,20260103,1
49-160,20260103,2
53-100,20260103,1
53-160,20260103,2
57-100,20260103,1
57-160,20260103,2
65-391,20260103,1
65-160,20260103,2
01-179,20260107,1
01-170,20260107,2
