型番名,メーカー,製品名,kakaku_item_url,lowest_price_yen,rating,review_people,bbs_count,hint
RAS-F285DR,トウシバ,大清快,https://kakaku.com/item/K0001127783/,,5.0,1.0,76.0,search_hit:https://search.kakaku.com/RAS-F285DR/ | item:dom
RAS-F406DR,トウシバ,大清快,https://kakaku.com/item/K0001127786/,,5.0,2.0,76.0,search_hit:https://search.kakaku.com/RAS-F406DR/ | item:dom
RAS-U221DZ,トウシバ,大清快,https://kakaku.com/item/K0001675792/,104000.0,5.0,2.0,5.0,search_hit:https://search.kakaku.com/RAS-U221DZ/ | item:dom
RAS-U402DR,トウシバ,大清快,https://kakaku.com/item/K0001650167/,212528.0,5.0,1.0,,search_hit:https://search.kakaku.com/RAS-U402DR/ | item:dom
RAS-U251DZ,トウシバ,大清快,https://kakaku.com/item/K0001675793/,122001.0,4.0,1.0,5.0,search_hit:https://search.kakaku.com/RAS-U251DZ/ | item:dom
RAS-N251DZ,トウシバ,大清快,https://kakaku.com/item/K0001604377/,102080.0,4.0,1.0,2.0,search_hit:https://search.kakaku.com/RAS-N251DZ/ | item:dom
RAS-N402DRZ,トウシバ,大清快,https://kakaku.com/item/K0001564922/,292770.0,4.0,1.0,,search_hit:https://search.kakaku.com/RAS-N402DRZ/ | item:dom
RAS-J221DT,トウシバ,大清快,https://kakaku.com/item/K0001427907/,,3.0,1.0,8.0,search_hit:https://search.kakaku.com/RAS-J221DT/ | item:dom
RAS-H221DT,トウシバ,大清快,https://kakaku.com/item/K0001340644/,,1.0,1.0,16.0,search_hit:https://search.kakaku.com/RAS-H221DT/ | item:dom
RAS-J251DT,トウシバ,大清快,https://kakaku.com/item/K0001427908/,,1.0,1.0,8.0,search_hit:https://search.kakaku.com/RAS-J251DT/ | item:dom
RAS-N221DZ,トウシバ,大清快,https://kakaku.com/item/K0001604376/,109000.0,1.0,1.0,2.0,search_hit:https://search.kakaku.com/RAS-N221DZ/ | item:dom
RAS-F225DR,トウシバ,大清快,https://kakaku.com/item/K0001127781/,,,,76.0,search_hit:https://search.kakaku.com/RAS-F225DR/ | item:dom
RAS-F255DR,トウシバ,大清快,https://kakaku.com/item/K0001127782/,,,,76.0,search_hit:https://search.kakaku.com/RAS-F255DR/ | item:dom
RAS-H251DT,トウシバ,大清快,https://kakaku.com/item/K0001340645/,,,,16.0,search_hit:https://search.kakaku.com/RAS-H251DT/ | item:dom
RAS-F225DRH,トウシバ,大清快,https://kakaku.com/item/K0001173583/,,,,7.0,search_hit:https://search.kakaku.com/RAS-F225DRH/ | item:dom
RAS-F255DRH,トウシバ,大清快,https://kakaku.com/item/K0001173584/,,,,7.0,search_hit:https://search.kakaku.com/RAS-F255DRH/ | item:dom
RAS-F285DRH,トウシバ,大清快,https://kakaku.com/item/K0001173585/,,,,7.0,search_hit:https://search.kakaku.com/RAS-F285DRH/ | item:dom
RAS-F406DRH,トウシバ,大清快,https://kakaku.com/item/K0001173588/,,,,7.0,search_hit:https://search.kakaku.com/RAS-F406DRH/ | item:dom
RAS-U221DR,トウシバ,大清快,https://kakaku.com/item/K0001650163/,137000.0,,,,search_hit:https://search.kakaku.com/RAS-U221DR/ | item:dom
RAS-N221DRZ,トウシバ,大清快,https://kakaku.com/item/K0001564919/,159800.0,,,,search_hit:https://search.kakaku.com/RAS-N221DRZ/ | item:dom
RAS-U251DR,トウシバ,大清快,https://kakaku.com/item/K0001650164/,190000.0,,,,search_hit:https://search.kakaku.com/RAS-U251DR/ | item:dom
RAS-U281DR,トウシバ,大清快,https://kakaku.com/item/K0001650165/,198425.0,,,,search_hit:https://search.kakaku.com/RAS-U281DR/ | item:dom
RAS-U361DR,トウシバ,大清快,https://kakaku.com/item/K0001650166/,219800.0,,,,search_hit:https://search.kakaku.com/RAS-U361DR/ | item:dom
RAS-V221DR,トウシバ,大清快,https://kakaku.com/item/K0001708063/,223829.0,,,,search_hit:https://search.kakaku.com/RAS-V221DR/ | item:dom
RAS-V251DR,トウシバ,大清快,https://kakaku.com/item/K0001708064/,243202.0,,,,search_hit:https://search.kakaku.com/RAS-V251DR/ | item:dom
RAS-V281DR,トウシバ,大清快,https://kakaku.com/item/K0001708065/,252864.0,,,,search_hit:https://search.kakaku.com/RAS-V281DR/ | item:dom
RAS-N281DRZ,トウシバ,大清快,https://kakaku.com/item/K0001564921/,260495.0,,,,search_hit:https://search.kakaku.com/RAS-N281DRZ/ | item:dom
RAS-V361DR,トウシバ,大清快,https://kakaku.com/item/K0001708066/,262410.0,,,,search_hit:https://search.kakaku.com/RAS-V361DR/ | item:dom
RAS-V402DR,トウシバ,大清快,https://kakaku.com/item/K0001708067/,283776.0,,,,search_hit:https://search.kakaku.com/RAS-V402DR/ | item:dom
RAS-N402DRBK,トウシバ,大清快,,,,,,item_url_not_found
RAS-N251DRZ,トウシバ,大清快,https://kakaku.com/item/K0001564920/,,,,,search_hit:https://search.kakaku.com/RAS-N251DRZ/ | item:ok_no_data
RAS-N221E4DRZ,トウシバ,大清快,,,,,,item_url_not_found
RAS-N251E4DRZ,トウシバ,大清快,,,,,,item_url_not_found
RAS-N281E4DRZ,トウシバ,大清快,,,,,,item_url_not_found
RAS-N402E4DRZ,トウシバ,大清快,,,,,,item_url_not_found
RAS-N221E4DR,トウシバ,大清快,,,,,,item_url_not_found
RAS-N251E4DR,トウシバ,大清快,,,,,,item_url_not_found
RAS-N281E4DR,トウシバ,大清快,,,,,,item_url_not_found
RAS-N361E4DR,トウシバ,大清快,,,,,,item_url_not_found
RAS-N402E4DR,トウシバ,大清快,,,,,,item_url_not_found
RAS-N221DZKS,トウシバ,大清快,,,,,,item_url_not_found
RAS-N251DZKS,トウシバ,大清快,,,,,,item_url_not_found
RAS-U221DRS,トウシバ,大清快,,,,,,item_url_not_found
